time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
40,0.0,10.74423415956964,9.090235567657762,8.983900068769646,2.7184681962736303,3.0791924815571172,34.61603047382779,210.0,400.0,244.61603047382778,0.1,0.8500000000001438,0.8758254731410458,0.44454535982932714,0.301254293144648,0.5954480861848739,0.42383855535420656
41,0.0,10.74423415956964,9.090235567657762,8.983900068769646,2.7184681962736303,3.0791924815571172,34.61603047382779,210.0,400.0,244.61603047382778,0.1,0.8500000000001438,0.883883648760723,0.45107896664358116,0.3084734985570522,0.6034222595606099,0.43287085330010744
42,0.0,10.74423415956964,9.090235567657762,8.983900068769646,2.7184681962736303,3.0791924815571172,34.61603047382779,210.0,400.0,244.61603047382778,0.1,0.8500000000001438,0.8919418243804003,0.4576125734578352,0.31569270396945637,0.6113964329363458,0.4419031512460083
43,0.0,10.74423415956964,9.090235567657762,8.983900068769646,2.7184681962736303,3.0791924815571172,34.61603047382779,210.0,400.0,244.61603047382778,0.1,0.8500000000001438,0.9000000000000775,0.4641461802720892,0.32291190938186054,0.6193706063120819,0.4509354491919092
44,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.4753629925605186,0.33287531816720883,0.628402075996501,0.46129660420961643
45,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.486579804848948,0.3428387269525571,0.6374335456809201,0.47165775922732367
46,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.49779661713737744,0.3528021357379054,0.6464650153653394,0.48201891424503096
47,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5090134294258069,0.3627655445232537,0.6554964850497585,0.49238006926273814
48,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5202302417142363,0.372728953308602,0.6645279547341777,0.5027412242804454
49,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5314470540026657,0.3826923620939503,0.673559424418597,0.5131023792981526
50,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5426638662910951,0.3926557708792986,0.6825908941030161,0.5234635343158599
51,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5538806785795245,0.4026191796646469,0.6916223637874352,0.5338246893335671
52,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5650974908679539,0.4125825884499952,0.7006538334718544,0.5441858443512744
53,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5763143031563833,0.4225459972353435,0.7096853031562735,0.5545469993689816
